"번호","메뉴","끼니","간편 링크에 붙여 넣을 쿠팡 주소","파트너스 링크"
"1","누룽지","아침","https://www.coupang.com/np/search?q=%EB%88%84%EB%A3%BD%EC%A7%80%20%EC%9E%AC%EB%A3%8C",""
"2","전복죽","아침","https://www.coupang.com/np/search?q=%EC%A0%84%EB%B3%B5%EC%A3%BD%20%EC%9E%AC%EB%A3%8C",""
"3","간장계란밥","아침","https://www.coupang.com/np/search?q=%EA%B0%84%EC%9E%A5%EA%B3%84%EB%9E%80%EB%B0%A5%20%EC%9E%AC%EB%A3%8C",""
"4","계란말이","아침","https://www.coupang.com/np/search?q=%EA%B3%84%EB%9E%80%EB%A7%90%EC%9D%B4%20%EC%9E%AC%EB%A3%8C",""
"5","미역국","아침","https://www.coupang.com/np/search?q=%EB%AF%B8%EC%97%AD%EA%B5%AD%20%EC%9E%AC%EB%A3%8C",""
"6","황태해장국","아침","https://www.coupang.com/np/search?q=%ED%99%A9%ED%83%9C%ED%95%B4%EC%9E%A5%EA%B5%AD%20%EC%9E%AC%EB%A3%8C",""
"7","떡국","아침","https://www.coupang.com/np/search?q=%EB%96%A1%EA%B5%AD%20%EC%9E%AC%EB%A3%8C",""
"8","토스트","아침","https://www.coupang.com/np/search?q=%ED%86%A0%EC%8A%A4%ED%8A%B8%20%EC%9E%AC%EB%A3%8C",""
"9","프렌치토스트","아침","https://www.coupang.com/np/search?q=%ED%94%84%EB%A0%8C%EC%B9%98%ED%86%A0%EC%8A%A4%ED%8A%B8%20%EC%9E%AC%EB%A3%8C",""
"10","팬케이크","아침","https://www.coupang.com/np/search?q=%ED%8C%AC%EC%BC%80%EC%9D%B4%ED%81%AC%20%EC%9E%AC%EB%A3%8C",""
"11","오믈렛","아침","https://www.coupang.com/np/search?q=%EC%98%A4%EB%AF%88%EB%A0%9B%20%EC%9E%AC%EB%A3%8C",""
"12","에그 베네딕트","아침","https://www.coupang.com/np/search?q=%EC%97%90%EA%B7%B8%20%EB%B2%A0%EB%84%A4%EB%94%95%ED%8A%B8%20%EC%9E%AC%EB%A3%8C",""
"13","베이글","아침","https://www.coupang.com/np/search?q=%EB%B2%A0%EC%9D%B4%EA%B8%80%20%EC%9E%AC%EB%A3%8C",""
"14","크루아상","아침","https://www.coupang.com/np/search?q=%ED%81%AC%EB%A3%A8%EC%95%84%EC%83%81%20%EC%9E%AC%EB%A3%8C",""
"15","스크램블 에그","아침","https://www.coupang.com/np/search?q=%EC%8A%A4%ED%81%AC%EB%9E%A8%EB%B8%94%20%EC%97%90%EA%B7%B8%20%EC%9E%AC%EB%A3%8C",""
"16","시리얼","아침","https://www.coupang.com/np/search?q=%EC%8B%9C%EB%A6%AC%EC%96%BC%20%EC%9E%AC%EB%A3%8C",""
"17","오트밀","아침","https://www.coupang.com/np/search?q=%EC%98%A4%ED%8A%B8%EB%B0%80%20%EC%9E%AC%EB%A3%8C",""
"18","요거트 그래놀라","아침","https://www.coupang.com/np/search?q=%EC%9A%94%EA%B1%B0%ED%8A%B8%20%EA%B7%B8%EB%9E%98%EB%86%80%EB%9D%BC%20%EC%9E%AC%EB%A3%8C",""
"19","삶은 달걀","아침","https://www.coupang.com/np/search?q=%EC%82%B6%EC%9D%80%20%EB%8B%AC%EA%B1%80%20%EC%9E%AC%EB%A3%8C",""
"20","군고구마","아침","https://www.coupang.com/np/search?q=%EA%B5%B0%EA%B3%A0%EA%B5%AC%EB%A7%88%20%EC%9E%AC%EB%A3%8C",""
"21","주먹밥","아침","https://www.coupang.com/np/search?q=%EC%A3%BC%EB%A8%B9%EB%B0%A5%20%EC%9E%AC%EB%A3%8C",""
"22","김치찌개","점심","https://www.coupang.com/np/search?q=%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C%20%EC%9E%AC%EB%A3%8C",""
"23","된장찌개","점심","https://www.coupang.com/np/search?q=%EB%90%9C%EC%9E%A5%EC%B0%8C%EA%B0%9C%20%EC%9E%AC%EB%A3%8C",""
"24","제육볶음","점심","https://www.coupang.com/np/search?q=%EC%A0%9C%EC%9C%A1%EB%B3%B6%EC%9D%8C%20%EC%9E%AC%EB%A3%8C",""
"25","비빔밥","점심","https://www.coupang.com/np/search?q=%EB%B9%84%EB%B9%94%EB%B0%A5%20%EC%9E%AC%EB%A3%8C",""
"26","순대국","점심","https://www.coupang.com/np/search?q=%EC%88%9C%EB%8C%80%EA%B5%AD%20%EC%9E%AC%EB%A3%8C",""
"27","갈비탕","점심","https://www.coupang.com/np/search?q=%EA%B0%88%EB%B9%84%ED%83%95%20%EC%9E%AC%EB%A3%8C",""
"28","냉면","점심","https://www.coupang.com/np/search?q=%EB%83%89%EB%A9%B4%20%EC%9E%AC%EB%A3%8C",""
"29","삼계탕","점심","https://www.coupang.com/np/search?q=%EC%82%BC%EA%B3%84%ED%83%95%20%EC%9E%AC%EB%A3%8C",""
"30","뚝배기 불고기","점심","https://www.coupang.com/np/search?q=%EB%9A%9D%EB%B0%B0%EA%B8%B0%20%EB%B6%88%EA%B3%A0%EA%B8%B0%20%EC%9E%AC%EB%A3%8C",""
"31","부대찌개","점심","https://www.coupang.com/np/search?q=%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%20%EC%9E%AC%EB%A3%8C",""
"32","닭갈비","점심","https://www.coupang.com/np/search?q=%EB%8B%AD%EA%B0%88%EB%B9%84%20%EC%9E%AC%EB%A3%8C",""
"33","콩나물국밥","점심","https://www.coupang.com/np/search?q=%EC%BD%A9%EB%82%98%EB%AC%BC%EA%B5%AD%EB%B0%A5%20%EC%9E%AC%EB%A3%8C",""
"34","짜장면","점심","https://www.coupang.com/np/search?q=%EC%A7%9C%EC%9E%A5%EB%A9%B4%20%EC%9E%AC%EB%A3%8C",""
"35","짬뽕","점심","https://www.coupang.com/np/search?q=%EC%A7%AC%EB%BD%95%20%EC%9E%AC%EB%A3%8C",""
"36","볶음밥","점심","https://www.coupang.com/np/search?q=%EB%B3%B6%EC%9D%8C%EB%B0%A5%20%EC%9E%AC%EB%A3%8C",""
"37","탕수육","점심","https://www.coupang.com/np/search?q=%ED%83%95%EC%88%98%EC%9C%A1%20%EC%9E%AC%EB%A3%8C",""
"38","마파두부밥","점심","https://www.coupang.com/np/search?q=%EB%A7%88%ED%8C%8C%EB%91%90%EB%B6%80%EB%B0%A5%20%EC%9E%AC%EB%A3%8C",""
"39","잡채밥","점심","https://www.coupang.com/np/search?q=%EC%9E%A1%EC%B1%84%EB%B0%A5%20%EC%9E%AC%EB%A3%8C",""
"40","마라탕","점심","https://www.coupang.com/np/search?q=%EB%A7%88%EB%9D%BC%ED%83%95%20%EC%9E%AC%EB%A3%8C",""
"41","초밥","점심","https://www.coupang.com/np/search?q=%EC%B4%88%EB%B0%A5%20%EC%9E%AC%EB%A3%8C",""
"42","돈카츠","점심","https://www.coupang.com/np/search?q=%EB%8F%88%EC%B9%B4%EC%B8%A0%20%EC%9E%AC%EB%A3%8C",""
"43","라멘","점심","https://www.coupang.com/np/search?q=%EB%9D%BC%EB%A9%98%20%EC%9E%AC%EB%A3%8C",""
