번호,메뉴,꼭 필요한 재료,있으면 좋은 재료
1,누룽지,누룽지,
2,전복죽,쌀 / 전복,
3,간장계란밥,밥 / 달걀,김 / 버터
4,계란말이,달걀,대파·쪽파 / 당근
5,미역국,미역 / 소고기,
6,황태해장국,황태채 / 무 / 달걀,대파·쪽파
7,떡국,떡 / 소고기 / 달걀,대파·쪽파 / 김
8,토스트,식빵·빵,버터 / 딸기잼
9,프렌치토스트,식빵·빵 / 달걀 / 우유,버터
10,팬케이크,달걀 / 우유 / 베이킹파우더,버터
11,오믈렛,달걀,우유 / 버터 / 치즈 / 햄·소시지
12,에그 베네딕트,잉글리시 머핀 / 달걀 / 햄·소시지 / 버터,
13,베이글,베이글 / 크림치즈,햄·소시지 / 양파
14,크루아상,크루아상 / 달걀 / 치즈 / 햄·소시지,상추·양상추
15,스크램블 에그,달걀,우유 / 버터
16,시리얼,시리얼 / 우유,
17,오트밀,오트밀,우유
18,요거트 그래놀라,요거트 / 그래놀라,
19,삶은 달걀,달걀,
20,군고구마,고구마,
21,주먹밥,밥 / 참치캔 / 김,
22,김치찌개,김치 / 돼지고기,두부 / 대파·쪽파
23,된장찌개,두부,감자 / 애호박 / 양파 / 대파·쪽파 / 청양고추
24,제육볶음,돼지고기,양파 / 대파·쪽파
25,비빔밥,밥 / 달걀,시금치 / 콩나물 / 당근 / 애호박 / 소고기
26,순대국,순대 / 돼지고기,대파·쪽파
27,갈비탕,소고기 / 무,양파 / 대파·쪽파 / 당면
28,냉면,냉면 사리 / 냉면 육수,오이 / 달걀
29,삼계탕,닭고기 / 쌀,대파·쪽파 / 수삼 / 대추
30,뚝배기 불고기,소고기,양파 / 버섯 / 당면 / 대파·쪽파
31,부대찌개,햄·소시지 / 김치,라면 / 두부 / 양파 / 대파·쪽파 / 치즈
32,닭갈비,닭고기 / 양배추,고구마 / 양파 / 대파·쪽파 / 떡 / 깻잎
33,콩나물국밥,콩나물 / 밥,달걀 / 대파·쪽파 / 청양고추 / 김
34,짜장면,중화면 / 춘장 / 돼지고기 / 양파,양배추 / 애호박
35,짬뽕,중화면 / 오징어,새우 / 조개 / 돼지고기 / 양파 / 양배추 / 애호박 / 대파·쪽파
36,볶음밥,밥 / 달걀,대파·쪽파 / 새우 / 햄·소시지 / 당근 / 양파
37,탕수육,돼지고기,양파 / 당근 / 오이 / 달걀
38,마파두부밥,두부 / 돼지고기 / 밥 / 두반장,대파·쪽파
39,잡채밥,당면 / 밥,돼지고기 / 소고기 / 시금치 / 양파 / 당근 / 버섯
40,마라탕,마라탕 소스,소고기 / 청경채 / 숙주 / 배추 / 버섯 / 당면 / 어묵 / 두부
41,초밥,밥 / 생선회,
42,돈카츠,돼지고기 / 달걀,양배추
43,라멘,생라멘면,돼지고기 / 달걀 / 대파·쪽파 / 김 / 숙주
44,우동,우동면,어묵 / 대파·쪽파
45,규동,소고기 / 양파 / 밥,대파·쪽파
46,회덮밥,밥 / 생선회,상추·양상추 / 오이 / 당근 / 깻잎
47,소바,메밀면 / 쯔유,무 / 대파·쪽파 / 김
48,파스타,파스타면 / 소고기 / 토마토소스,양파 / 당근 / 치즈
49,햄버거,햄버거 번 / 소고기,양파 / 치즈 / 상추·양상추 / 토마토
50,리조또,쌀 / 토마토소스,새우 / 오징어 / 조개 / 양파 / 버터 / 치즈
51,샌드위치,식빵·빵 / 햄·소시지,치즈 / 상추·양상추 / 토마토
52,피자,또띠아 / 토마토소스 / 치즈,햄·소시지 / 양파 / 파프리카
53,샐러드,상추·양상추,토마토 / 오이 / 달걀 / 닭고기
54,떡볶이,떡,어묵 / 대파·쪽파 / 달걀
55,김밥,밥 / 김,햄·소시지 / 달걀 / 시금치 / 당근 / 단무지 / 게맛살
